指标名称,钢材价格指数:螺纹钢:Φ12-25,收盘价:螺纹指数,热卷:中国:市场价,收盘价:热卷指数
2010/3/3,,4344.88 ,,
2010/3/4,,4326.01 ,,
2010/3/5,110.32,4359.09 ,586,
2010/3/8,,4426.10 ,,
2010/3/9,,4454.79 ,,
2010/3/10,,4482.74 ,,
2010/3/11,,4505.33 ,,
2010/3/12,110.37,4519.30 ,612,
2010/3/15,,4530.62 ,,
2010/3/16,,4680.30 ,,
2010/3/17,,4677.57 ,,
2010/3/18,,4647.99 ,,
2010/3/19,116.34,4678.37 ,627,
2010/3/22,,4696.15 ,,
2010/3/23,,4678.53 ,,
2010/3/24,,4714.22 ,,
2010/3/25,,4734.74 ,634,
2010/3/26,119.49,4741.75 ,,
2010/3/29,,4761.10 ,,
2010/3/30,,4718.54 ,,
2010/3/31,,4711.14 ,,
2010/4/1,,4711.12 ,645,
2010/4/2,126.4,4742.86 ,,
2010/4/6,,4782.36 ,,
2010/4/7,,4809.11 ,,
2010/4/8,,4777.04 ,,
2010/4/9,128.45,4817.21 ,662,
2010/4/12,,4843.58 ,,
2010/4/13,,4855.93 ,,
2010/4/14,,4835.52 ,,
2010/4/15,,4801.79 ,,
2010/4/16,131.37,4821.85 ,686,
2010/4/19,,4738.11 ,,
2010/4/20,,4758.28 ,,
2010/4/21,,4746.39 ,,
2010/4/22,,4724.27 ,,
2010/4/23,131.51,4729.09 ,684,
2010/4/26,,4723.35 ,,
2010/4/27,,4668.49 ,,
2010/4/28,,4581.72 ,,
2010/4/29,,4576.61 ,674,
2010/4/30,130.04,4627.56 ,,
2010/5/4,,4658.23 ,,
2010/5/5,,4645.77 ,,
2010/5/6,,4628.41 ,,
2010/5/7,129.7,4538.59 ,678,
2010/5/10,,4527.29 ,,
2010/5/11,,4473.03 ,,
2010/5/12,,4400.96 ,,
2010/5/13,,4395.31 ,,
2010/5/14,128.3,4363.93 ,656,
2010/5/17,,4182.58 ,,
2010/5/18,,4211.28 ,,
2010/5/19,,4224.81 ,,
2010/5/20,,4252.51 ,,
2010/5/21,119.38,4230.29 ,630,
2010/5/24,,4319.17 ,,
2010/5/25,,4267.02 ,,
2010/5/26,,4275.04 ,,
2010/5/27,,4272.79 ,,
2010/5/28,119.89,4259.19 ,634,
2010/5/31,,4218.81 ,,
2010/6/1,,4181.29 ,,
2010/6/2,,4188.92 ,,
2010/6/3,,4203.69 ,,
2010/6/4,117.87,4184.91 ,641,
2010/6/7,,4027.38 ,,
2010/6/8,,4067.03 ,,
2010/6/9,,4107.09 ,,
2010/6/10,,4089.17 ,,
2010/6/11,115.91,4118.53 ,637,
2010/6/17,,4120.33 ,,
2010/6/18,115.54,4100.46 ,637,
2010/6/21,,4173.65 ,,
2010/6/22,,4150.02 ,,
2010/6/23,,4095.08 ,,
2010/6/24,,4115.79 ,,
2010/6/25,114.46,4098.25 ,638,
2010/6/28,,4054.81 ,,
2010/6/29,,4012.81 ,,
2010/6/30,,4006.45 ,,
2010/7/1,,3985.36 ,637,
2010/7/2,113.98,4002.63 ,,
2010/7/5,,4019.63 ,,
2010/7/6,,4000.33 ,,
2010/7/7,,4000.64 ,,
2010/7/8,,3973.33 ,,
2010/7/9,111.17,3994.74 ,615,
2010/7/12,,4009.45 ,,
2010/7/13,,3983.03 ,,
2010/7/14,,3984.78 ,,
2010/7/15,,3982.44 ,,
2010/7/16,109.89,3995.57 ,605,
2010/7/19,,4067.02 ,,
2010/7/20,,4122.39 ,,
2010/7/21,,4120.88 ,,
2010/7/22,,4120.68 ,,
2010/7/23,111.85,4174.38 ,634,
2010/7/26,,4166.36 ,,
2010/7/27,,4113.20 ,,
2010/7/28,,4177.69 ,,
2010/7/29,,4174.24 ,,
2010/7/30,114.78,4241.27 ,643,
2010/8/2,,4288.41 ,,
2010/8/3,,4261.17 ,,
2010/8/4,,4287.07 ,,
2010/8/5,,4268.45 ,648,
2010/8/6,118.33,4284.21 ,,
2010/8/9,,4348.50 ,,
2010/8/10,,4329.59 ,,
2010/8/11,,4336.14 ,,
2010/8/12,,4279.31 ,,
2010/8/13,119.04,4312.87 ,638,
2010/8/16,,4340.50 ,,
2010/8/17,,4348.41 ,,
2010/8/18,,4342.83 ,,
2010/8/19,,4348.20 ,647,
2010/8/20,119.78,4298.55 ,,
2010/8/23,,4251.43 ,,
2010/8/24,,4231.69 ,,
2010/8/25,,4219.55 ,,
